x	y	avg.rank	avg.ort	ecorr
GU.95_<<_GU.328	GU.95	GU.328	0.0370488832027294	1	1
GU.95_<<_GU.249	GU.95	GU.249	0.0445119675888907	1	1
GU.328_<<_GU.249	GU.328	GU.249	0.051975051975052	-1	1
GU.166_<<_GU.93	GU.166	GU.93	0.100858254704409	1	1
GU.166_<<_GU.1722	GU.166	GU.1722	0.10832133909057	0	1
GU.166_<<_GU.757	GU.166	GU.757	0.115784423476731	1	1
GU.315_<<_GU.931	GU.315	GU.931	0.123247507862892	1	1
GU.315_<<_GU.871	GU.315	GU.871	0.130710592249054	1	1
GU.315_<<_GU.412	GU.315	GU.412	0.138173676635215	1	1
GU.185_<<_GU.178	GU.185	GU.178	0.142598219521296	1	0.918558653543692
GU.409_<<_GU.85	GU.409	GU.85	0.145636761021376	1	1
GU.760_<<_GU.2735	GU.760	GU.2735	0.150061303907458	1	0.90905934288631
GU.409_<<_GU.267	GU.409	GU.267	0.153099845407538	1	1
GU.3349_<<_GU.2735	GU.3349	GU.2735	0.157524388293619	0	0.90905934288631
GU.409_<<_GU.1795	GU.409	GU.1795	0.160562929793699	1	1
GU.1771_<<_GU.2508	GU.1771	GU.2508	0.16498747267978	-1	0.90905934288631
GU.409_<<_GU.928	GU.409	GU.928	0.16802601417986	1	1
GU.2508_<<_GU.921	GU.2508	GU.921	0.175409136947598	-1	0.901127113779166
GU.931_<<_GU.871	GU.931	GU.871	0.175489098566022	0	1
GU.178_<<_GU.1020	GU.178	GU.1020	0.181459566074951	1	0.849836585598797
GU.2508_<<_GU.2750	GU.2508	GU.2750	0.18287222133376	1	0.901127113779166
GU.931_<<_GU.412	GU.931	GU.412	0.182952182952183	0	1
GU.6433_<<_GU.916	GU.6433	GU.916	0.190415267338344	1	1
GU.92_<<_GU.921	GU.92	GU.921	0.194839810224426	0	0.819178021909125
GU.85_<<_GU.267	GU.85	GU.267	0.197878351724506	1	1
GU.905_<<_GU.921	GU.905	GU.921	0.202302894610587	-1	0.819178021909125
GU.85_<<_GU.1795	GU.85	GU.1795	0.205341436110667	1	1
GU.85_<<_GU.928	GU.85	GU.928	0.212804520496828	1	1
GU.93_<<_GU.1722	GU.93	GU.1722	0.22026760488299	-1	1
GU.1020_<<_GU.400	GU.1020	GU.400	0.223279492510262	1	-0.714005547295417
GU.93_<<_GU.757	GU.93	GU.757	0.227730689269151	1	1
GU.267_<<_GU.1795	GU.267	GU.1795	0.235193773655312	1	1
GU.973_<<_GU.95	GU.973	GU.95	0.240897702436164	0	0.79854940950469
GU.267_<<_GU.928	GU.267	GU.928	0.242656858041473	1	1
GU.699_<<_GU.2616	GU.699	GU.2616	0.250119942427635	1	1
GU.95_<<_GU.671	GU.95	GU.671	0.254277946585639	1	0.79854940950469
GU.699_<<_GU.805	GU.699	GU.805	0.257583026813796	1	1
GU.1722_<<_GU.757	GU.1722	GU.757	0.265046111199957	1	1
GU.2616_<<_GU.805	GU.2616	GU.805	0.272509195586119	1	1
GU.1020_<<_GU.2735	GU.1020	GU.2735	0.27565435257743	1	0.599144689515278
GU.1795_<<_GU.928	GU.1795	GU.928	0.27997227997228	1	1
GU.1020_<<_GU.860	GU.1020	GU.860	0.283117436963591	1	-0.584897651865602
GU.871_<<_GU.412	GU.871	GU.412	0.287435364358441	1	1
GU.1020_<<_GU.124	GU.1020	GU.124	0.290580521349752	1	-0.584897651865602
GU.1149_<<_GU.358	GU.1149	GU.358	0.294898448744603	1	1
GU.860_<<_GU.973	GU.860	GU.973	0.299189722266645	-1	0.657128740672771
GU.178_<<_GU.3349	GU.178	GU.3349	0.305506690122075	1	0.560112033611204
GU.921_<<_GU.6266	GU.921	GU.6266	0.306652806652807	1	0.657128740672771
GU.1671_<<_GU.25	GU.1671	GU.25	0.384588730742577	1	0.692218655243173
GU.1924_<<_GU.166	GU.1924	GU.166	0.392051815128738	-1	0.692218655243173
GU.1924_<<_GU.93	GU.1924	GU.93	0.3995148995149	-1	0.692218655243173
GU.1924_<<_GU.699	GU.1924	GU.699	0.406977983901061	-1	0.692218655243173
GU.1924_<<_GU.1722	GU.1924	GU.1722	0.414441068287222	-1	0.692218655243173
GU.1924_<<_GU.757	GU.1924	GU.757	0.427821312436697	-1	0.692218655243173
GU.2735_<<_GU.3831	GU.2735	GU.3831	0.428221120528813	1	0.579066024143586
GU.400_<<_GU.671	GU.400	GU.671	0.453835492297031	0	0.538305421923955
GU.92_<<_GU.760	GU.92	GU.760	0.458473266165574	1	-0.470588235294118
GU.124_<<_GU.1671	GU.124	GU.1671	0.467215736446506	1	0.524749767832802
GU.905_<<_GU.3349	GU.905	GU.3349	0.468894930433392	-1	-0.470588235294118
GU.185_<<_GU.2508	GU.185	GU.2508	0.47931659470121	1	0.467707173346743
GU.973_<<_GU.6433	GU.973	GU.6433	0.484567407644331	0	0.552770798392567
GU.315_<<_GU.671	GU.315	GU.671	0.494989071912149	1	0.552770798392567
GU.931_<<_GU.671	GU.931	GU.671	0.50245215629831	1	0.552770798392567
GU.871_<<_GU.671	GU.871	GU.671	0.509915240684471	1	0.552770798392567
GU.412_<<_GU.671	GU.412	GU.671	0.517378325070633	1	0.552770798392567
GU.92_<<_GU.124	GU.92	GU.124	0.538888000426462	-1	-0.385495539721941
GU.905_<<_GU.124	GU.905	GU.124	0.546351084812623	1	-0.385495539721941
GU.178_<<_GU.760	GU.178	GU.760	0.550295857988166	0	0.560112033611204
GU.973_<<_GU.328	GU.973	GU.328	0.559171597633136	0	0.79854940950469
GU.973_<<_GU.249	GU.973	GU.249	0.562130177514793	0	0.79854940950469
GU.185_<<_GU.1924	GU.185	GU.1924	0.565381949997335	1	-0.393178549746392
GU.328_<<_GU.671	GU.328	GU.671	0.568047337278107	0	0.79854940950469
GU.249_<<_GU.671	GU.249	GU.671	0.571005917159763	0	0.79854940950469
GU.1020_<<_GU.973	GU.1020	GU.973	0.571698917852764	1	-0.384353057392904
GU.3831_<<_GU.409	GU.3831	GU.409	0.572711765019457	1	0.408248290463863
GU.185_<<_GU.95	GU.185	GU.95	0.572845034383496	1	-0.393178549746392
GU.1020_<<_GU.921	GU.1020	GU.921	0.579881656804734	0	0.539905524799017
GU.400_<<_GU.860	GU.400	GU.860	0.583000159923237	1	0.417620168032103
