GU.2508	GU.921	GU.2750	GU.973	GU.95	GU.328	GU.249	GU.6433	GU.916
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	2	2
1	1	1	2	2	2	2	1	1
1	1	1	2	2	2	2	1	1
2	1	2	1	1	1	1	1	1
2	2	1	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1
