GU.185	GU.178	GU.1020	GU.400	GU.124	GU.1671	GU.1149	GU.25	GU.358
1	1	1	1	2	1	1	1	1
1	1	1	2	2	1	1	1	1
1	1	1	2	2	2	1	1	1
1	1	1	2	2	2	1	2	1
1	1	1	1	2	1	1	1	1
1	1	1	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	1	1	1	1	1	1	1
1	1	1	2	1	1	1	1	1
1	1	1	2	1	1	1	1	1
2	1	1	2	1	1	2	1	2
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	2	1	1	1	1	1	1
2	2	1	2	2	1	1	1	1
1	1	1	2	1	1	1	1	1
