x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.760_<<_GU.2735	GU.760	GU.2735	0.472386865845414	1	NA	1	NA
GU.3349_<<_GU.2735	GU.3349	GU.2735	0.472386865845414	1	NA	1	NA
GU.95_<<_GU.328	GU.95	GU.328	0.298769371768588	1	NA	1	NA
GU.178_<<_GU.760	GU.178	GU.760	0.212315471984135	1	NA	1	NA
GU.178_<<_GU.3349	GU.178	GU.3349	0.212315471984135	1	NA	1	NA
GU.1149_<<_GU.358	GU.1149	GU.358	0.187944147734172	1	NA	1	NA
GU.2735_<<_GU.3831	GU.2735	GU.3831	0.134705562495045	1	NA	1	NA
GU.178_<<_GU.95	GU.178	GU.95	0.078608402353312	1	NA	1	NA
GU.178_<<_GU.328	GU.178	GU.328	0.078608402353312	1	NA	1	NA
GU.178_<<_GU.1149	GU.178	GU.1149	0.037910958377593	1	NA	1	NA
GU.178_<<_GU.358	GU.178	GU.358	0.037910958377593	1	NA	1	NA
GU.178_<<_GU.2735	GU.178	GU.2735	0	0	NA	0	NA
GU.178_<<_GU.3831	GU.178	GU.3831	0	0	NA	0	NA
GU.760_<<_GU.3349	GU.760	GU.3349	0	0	NA	0	NA
GU.760_<<_GU.3831	GU.760	GU.3831	0	0	NA	0	NA
GU.760_<<_GU.95	GU.760	GU.95	0	0	NA	0	NA
GU.760_<<_GU.328	GU.760	GU.328	0	0	NA	0	NA
GU.760_<<_GU.1149	GU.760	GU.1149	0	0	NA	0	NA
GU.760_<<_GU.358	GU.760	GU.358	0	0	NA	0	NA
GU.3349_<<_GU.3831	GU.3349	GU.3831	0	0	NA	0	NA
GU.3349_<<_GU.95	GU.3349	GU.95	0	0	NA	0	NA
GU.3349_<<_GU.328	GU.3349	GU.328	0	0	NA	0	NA
GU.3349_<<_GU.1149	GU.3349	GU.1149	0	0	NA	0	NA
GU.3349_<<_GU.358	GU.3349	GU.358	0	0	NA	0	NA
GU.2735_<<_GU.95	GU.2735	GU.95	0	0	NA	0	NA
GU.2735_<<_GU.328	GU.2735	GU.328	0	0	NA	0	NA
GU.2735_<<_GU.1149	GU.2735	GU.1149	0	0	NA	0	NA
GU.2735_<<_GU.358	GU.2735	GU.358	0	0	NA	0	NA
GU.3831_<<_GU.95	GU.3831	GU.95	0	0	NA	0	NA
GU.3831_<<_GU.328	GU.3831	GU.328	0	0	NA	0	NA
GU.3831_<<_GU.1149	GU.3831	GU.1149	0	0	NA	0	NA
GU.3831_<<_GU.358	GU.3831	GU.358	0	0	NA	0	NA
GU.95_<<_GU.1149	GU.95	GU.1149	0	0	NA	0	NA
GU.95_<<_GU.358	GU.95	GU.358	0	0	NA	0	NA
GU.328_<<_GU.1149	GU.328	GU.1149	0	0	NA	0	NA
GU.328_<<_GU.358	GU.328	GU.358	0	0	NA	0	NA
